,Address/City/Postal Code,Weblink,Number of Rooms,Return on Invesment,Purchase Price,Market Price,Pct Below Market Value,Potential Cash Flow,Finders Fee,Current Gross Income,Potential Gross Income,Cash Flow Required
117,"Rocky Lane, Liverpool, L6 4BB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=125,"  research, rooms in this location can achieve £75 - £80 per week.
the commercial space is currently let at £325pcm
potential income fully let (based on 8 bedrooms @ £80 per week) = £3,100 pcm = £37,180 per annum",49%,"£145,000",,,"£2,153","£6,000",,,"£44,050"
118,"Waterlooo Road, Smethwick, B66 4NE",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=249," 1 –  but can be let at £400 pcm minimum
room 2 – vacant but can be let at £400 pcm minimum
room 3 – vacant but can be let at £400 pcm minimum
room 4 – vacant but can be let at £400 pcm minimum
room 5 – vacant but can be let at £400 pcm minimum
potential income = £2,000pcm = £24,000 per annum",60%,,,,,"£5,000",,,"£17,325"
119,"Beaconsfield Road, Doncaster, DN4 0DL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=248," , 4 out of 6 rooms are currently let out to mainly working tenants.
room 1 - £60pw - working tenant
room 2 - £60pw - housing benefit
room 3 - £70pw - working tenant
room 4 - £65pw - working tenant
room 5 - currently vacant but will achieve £60pw
room 6 - currently vacant but will achieve £65pw

rental demand remains strong in the area. currently, spareroom indicates that there are 74 people looking for rooms and 58 rooms are available.

current income with 4 rooms let = £1,105 pcm = £13,260 per annum
potential income with 5 rooms let = £1,647 pcm = £19,764 per annum",25%,"£130,000",,,£919,"£4,000","£13,260",,"£43,100"
120,"Friars Wharf, Gateshead, NE10 0QX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=157,"  flats are rented at present producing a gross rent of £42,480 per annum (2 beds average at £692.50 per month and the 1 bed average at £538.75 per month).",13%,"£510,000",,25%,"£1,513","£6,000",,,"£150,500"
121,"Powerscourt Road, Portsmouth, PO2 7JQ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=267,"  are rented out as follows.
room 1 - tenanted paying £500 pcm
room 2 - tenanted paying £550 pcm
room 3 - tenanted paying £525 pcm
room 4 - tenanted paying £550 pcm
room 5 - tenanted paying £350 pcm
room 6 - tenanted paying £550 pcm
room 7 - tenanted paying £495 pcm
room 8 - tenanted paying £425 pcm
current income = £3,945 pcm = £47,340",18%,"£475,000","£520,000+",,"£2,235","£5,000",,"£47,340","£152,750"
122,"St Georges Road, Hull, HU3 3QE",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=264,"  are rented out as follows.
room 1 – rented for £70 pw = £303 pcm
room 2 – rented for £70 pw = £303 pcm
room 3 (king ensuite) currently vacant - previously rented for £105 pw = £455 pcm
room 4 – ensuite rented for £75 pw = £325 pcm
room 5 – currently vacant – previously rented for £70 per week = £303 pcm
room 6 – rented for £60 pw = £260 pcm
current income = £1,192 pcm = £14,304 per annum
potential income when fully let = £1,950 pcm = £23,400 per annum",28%,"£160,000",,,"£1,160","£4,000",,"£23,400","£50,500"
123,"Caer Ffynnon Terrace, Penrhyndeudraeth, LL48 6AH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=246,"  potential = £450 pcm = £5,400 per annum
the property is located in an area with good rental demand and we have a local agent who would manage this property making this a complete hands off investment.",10%,"£90,000","£120,000",25%,£225,"£3,000",,,"£29,200"
124,"Morgan Avenue, Torquay, TQ2 5RS",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=238,"  are occupied as follows :
flat 1 - current vacant but could achieve £790 pcm
flat 2 - current vacant but could achieve £495 pcm
flat 3 - current vacant but could achieve £495 pcm
flat 4 - occupied generating £390pcm
potential income = £2,170 pcm £26,040 per annum ",18%,"£300,000","£405,000",26%,"£1,420","£6,000",,,"£96,000"
125,"Gwendoline Street, Port Talbot, SA12 6ED",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=236,,33%,"£145,000",,,"£1,243","£3,000",,,
126,"Station Road, Erdington, Birmingham, B23 6UE",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=231,"  potential = £675pcm = £8,100 per annum
potential for a mini hmo as follows :
room 1 = potential to let for £85 per week
room 2 = potential to let for £85 per week
room 3 = potential to let for £85 per week
potential income = £1,105 pcm = £13,260 pa
the property is located in an area with good rental demand and we have a local agent who would manage this property making this a complete hands off investment.",28%,"£83,000","£120,000",31%,£680,"£5,000",,,"£29,240"
127,"Duke Street, Southport, PR8 1LW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=224,", 9  of the 10 rooms are currently let out for £80 each per week, producing £37,440 annually.
room 1 – rented at £80 pw
room 2 – rented at £80 pw
room 3 – rented at £80 pw
room 4 – rented at £80 pw
room 5 – rented at £80 pw
room 6 – rented at £80 pw
room 7 – rented at £80 pw
room 8 – rented at £80 pw
room 9 – rented at £80 pw
room 10 – currently vacant, will also rent for £80 pw
potential income = £3,466.67 pcm = £41,600 per annum",25%,"£310,000",,,"£2,041.67","£5,000",,"£41,600","£98,300"
128,"Pearson Ave, Mutley, Plymouth, PL4 7DD",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=213,,20%,"£175,000",,,"£1,008","£5,000","£18,000","£21,240","£61,000"
129,"Deyne Avenue, Scunthorpe DN15 7PZ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=206,"  rooms to achieve circa £80 - £85 per week and therefore should achieve :
room 1 - potential to achieve £85 pw
room 2 - potential to achieve £85 pw
room 3 - potential to achieve £85 pw
room 4 - potential to achieve £85 pw
room 5 - potential to achieve £80 pw
room 6 - potential to achieve £80 pw
room 7 - potential to achieve £80 pw
potential income = £2,513 pcm = £30,160 pa",32%,"£140,000",,,"£2,513","£4,000",,"£30,160","7£60,000"
130,"Deyne Avenue, Scunthorpe DN15 7PZ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=205,"  total rents for a 6 bed hmo would produce an average of £26,000 annually, £2,166 pcm, £500 pw.
room 1 – rent at £85 pw
room 2 – rent at £85 pw
room 3 – rent at £85 pw
room 4 – rent at £80 pw
room 5 – rent at £80 pw
room 6 – rent at £80 pw
potential income = £2,166pcm = £26,000 per annum",30%,"£115,000",,,,"£3,000",,"£26,000","£56,200.00"
131,"Belgrave Rd, Mutley, Plymouth, PL4 7DR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=192,"  building can be let out for an average of £2,426pcm producing £29,112 annually.
room 1 – (vacant) - potential to be rented at £400 pcm
room 2 – (vacant) - potential to be rented at £370 per week
room 3 – (vacant) - potential to be rented at £370 per week
room 4 – (vacant) - potential to be rented at £370 per week
room 5 – (vacant) - potential to be rented at £416 per week
the 2 bed flat is currently being let out on a reduced rent of £500pcm (excluding bills)
potential income = £2,426 pcm = £29,112 annually.",20%,"£250,000",,,"£1,476","£5,000","£6,000","£30,212.00","£88,500"
132,"Eldon Grove, Hull, HU5 2TJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=189,"  and flat are rented out as follows :
room 1 – rented at £85 pw
room 2 – rented at £85 pw
room 3 – rented at £85 pw
room 4 – rented at £70 pw
room 5 – rented at £80 pw
room 6 – rented at £65 pw
room 7 – rented at £75 pw
room 8 – rented at £65 pw
2 bed flat - rented at £135 pw
current income = £3,230pcm = £38,740 per annum",25%,"£280,000",,,"£3,230","£6,000","£38,740",,"£88,400"
